Credits,Player Type,Player Name,Team,Original name,Bowling Style
8,ALL,Azmatullah Omarzai,AFG,Azmatullah Omarzai,Pace
5.5,BOWL,Bilal Sami,AFG,Bilal Sami,Pace
6,BAT,Darwish Rasooli,AFG,,
7,BOWL,Fareed Ahmed Malik,AFG,Fareed Ahmad,Pace
8,BOWL,FazalHaq Farooqi,AFG,Fazalhaq Farooqi,Pace
7,ALL,Gulbadin Naib,AFG,Gulbadin Naib,Pace
7.5,BAT,Hashmatullah Shahidi,AFG,Hashmatullah Shahidi,
8,BAT,Ibrahim Zadran,AFG,Ibrahim Zadran,
6.5,WK,Ikram Alikhil,AFG,Ikram Alikhil,
8,ALL,Mohammad Nabi,AFG,Mohammad Nabi,Spin
6,BOWL,Nangeyalia Kharote,AFG,Nangeyalia Kharote,Spin
6,BOWL,Naveed Zadran,AFG,Naveed Zadran,Pace
7,BOWL,Noor Ahmad,AFG,Noor Ahmad,Spin
8.5,WK,Rahmanullah Gurbaz,AFG,Rahmanullah Gurbaz,
7.5,BAT,Rahmat Shah,AFG,Rahmat Shah,
9,BOWL,Rashid-Khan,AFG,Rashid Khan,Spin
6.5,BAT,Sediqullah Atal,AFG,Sediqullah Atal,
6.5,ALL,Aaron Hardie,AUS,AM Hardie,Pace
9,BOWL,Adam Zampa,AUS,A Zampa,Spin
7,WK,Alex Carey,AUS,AT Carey,
6.5,BOWL,Ben Dwarshuis,AUS,BJ Dwarshuis,Pace
5.5,ALL,Cooper Connolly,AUS,C Connolly,Pace
8.5,ALL,Glenn Maxwell,AUS,GJ Maxwell,Spin
6,BAT,Jake Fraser-McGurk,AUS,J Fraser-McGurk,
7.5,WK,Josh Inglis,AUS,JP Inglis,
7.5,BAT,Marnus Labuschagne,AUS,M Labuschagne,
7,ALL,Matthew Short,AUS,MW Short,Spin
7,BOWL,Nathan Ellis,AUS,NT Ellis,Pace
7.5,BOWL,Sean Abbott,AUS,SA Abbott,Pace
7,BOWL,Spencer Johnson,AUS,SH Johnson,Pace
8.5,BAT,Steven Smith,AUS,SPD Smith,
6,BOWL,Tanveer Sangha,AUS,T Sangha,Spin
9,BAT,Travis Head,AUS,TM Head,
6.5,WK,Jaker Ali Anik,BAN,Jaker Ali,
8.5,ALL,Mehidy Hasan Miraz,BAN,Mehidy Hasan Miraz,Spin
7.5,ALL,Mohammad Mahmudullah,BAN,Mahmudullah,Spin
6,BAT,Mohammad Parvez Hossain-Emon,BAN,,
8,WK,Mushfiqur Rahim,BAN,Mushfiqur Rahim,
8,BOWL,Mustafizur Rahman,BAN,Mustafizur Rahman,Pace
6,BOWL,Nahid Rana,BAN,Nahid Rana,Pace
8,BAT,Najmul Hossain Shanto,BAN,Najmul Hossain Shanto,
7,BOWL,Nasum Ahmed,BAN,Nasum Ahmed,Spin
6.5,ALL,Rishad- Hossain,BAN,Rishad Hossain,Spin
7,BAT,Soumya Sarkar,BAN,Soumya Sarkar,
7,BAT,Tanzid Hasan,BAN,Tanzid Hasan,
7,BOWL,Tanzim Sakib,BAN,Tanzim Hasan Sakib,Pace
8.5,BOWL,Taskin Ahmed,BAN,Taskin Ahmed,Pace
7.5,BAT,Tawhid Hridoy,BAN,Towhid Hridoy,
8.5,BOWL,Adil Rashid,ENG,AU Rashid,Spin
8,BAT,Ben Duckett,ENG,BM Duckett,
7,BOWL,Brydon Carse,ENG,BA Carse,Pace
7,BOWL,Gus Atkinson,ENG,AAP Atkinson,Pace
7,BAT,Harry Brook,ENG,HC Brook,
6.5,ALL,Jamie Overton,ENG,J Overton,Pace
6,WK,Jamie Smith,ENG,JL Smith,
8,ALL,Joe Root,ENG,JE Root,Spin
8,BOWL,Jofra Archer,ENG,JC Archer,Pace
8.5,WK,Jos Buttler,ENG,JC Buttler,
7,ALL,Liam Livingstone,ENG,LS Livingstone,Spin
7.5,BOWL,Mark Wood,ENG,MA Wood,Pace
7.5,WK,Philip Salt,ENG,PD Salt,
7.5,BOWL,Saqib Mahmood,ENG,S Mahmood,Pace
6.5,BAT,Tom Banton,ENG,T Banton,
7.5,BOWL,Arshdeep Singh,IND,Arshdeep Singh,Pace
8,ALL,Axar Patel,IND,AR Patel,Spin
8.5,ALL,Hardik Pandya,IND,HH Pandya,Pace
6.5,BOWL,Harshit Rana,IND,Harshit Rana,Pace
8,BOWL,Kuldeep Yadav,IND,Kuldeep Yadav,Spin
7.5,WK,Lokesh Rahul,IND,KL Rahul,
8.5,BOWL,Mohammed Shami,IND,Mohammed Shami,Pace
8,ALL,Ravindra Jadeja,IND,RA Jadeja,Spin
7,WK,Rishabh Pant,IND,RR Pant,
9,BAT,Rohit Sharma,IND,RG Sharma,
8,BAT,Shreyas Iyer,IND,SS Iyer,
8.5,BAT,Shubman Gill,IND,Shubman Gill,
7,BOWL,Varun Chakravarthy,IND,CV Varun,Spin
9,BAT,Virat Kohli,IND,V Kohli,
6,ALL,Washington Sundar,IND,Washington Sundar,Spin
8.5,BAT,Daryl Mitchell,NZ,DJ Mitchell,
8,WK,Devon Conway,NZ,DP Conway,
8,ALL,Glenn Phillips,NZ,GD Phillips,Spin
