Player,Runs,Mins,BF,4s,6s,SR,Inns,,Opposition,Ground,Start Date,
MJ Guptill (NZ),237*,223,163,24,11,145.39,1,,v West Indies,Wellington,21 Mar 2015,
Fakhar Zaman (PAK),210*,221,156,24,5,134.61,1,,v Zimbabwe,Bulawayo,20 Jul 2018,
Ishan Kishan (IND),210,169,131,24,10,160.30,1,,v Bangladesh,Chattogram,10 Dec 2022,
RG Sharma (IND),208*,212,153,13,12,135.94,1,,v Sri Lanka,Mohali,13 Dec 2017,
Shubman Gill (IND),208,225,149,19,9,139.59,1,,v New Zealand,Hyderabad,18 Jan 2023,
GJ Maxwell (AUS),201*,181,128,21,10,157.03,2,,v Afghanistan,Wankhede,7 Nov 2023,
Fakhar Zaman (PAK),193,224,155,18,10,124.51,2,,v South Africa,Johannesburg,4 Apr 2021,
F du Plessis (SA),185,212,141,16,3,131.20,1,,v Sri Lanka,Cape Town,7 Feb 2017,
BA Stokes (ENG),182,185,124,15,9,146.77,1,,v New Zealand,The Oval,13 Sep 2023,
LRPL Taylor (NZ),181*,213,147,17,6,123.12,2,,v England,Dunedin,7 Mar 2018,
MJ Guptill (NZ),180*,198,138,15,11,130.43,2,,v South Africa,Hamilton,1 Mar 2017,
Fakhar Zaman (PAK),180*,220,144,17,6,125.00,2,,v New Zealand,Rawalpindi,29 Apr 2023,
JJ Roy (ENG),180,151,151,16,5,119.20,2,,v Australia,Melbourne,14 Jan 2018,
DA Warner (AUS),179,186,128,19,5,139.84,1,,v Pakistan,Adelaide,26 Jan 2017,
DA Warner (AUS),178,164,133,19,5,133.83,1,,v Afghanistan,W.A.C.A,4 Mar 2015,
Q de Kock (SA),178,142,113,16,11,157.52,2,,v Australia,Centurion,30 Sep 2016,
JN Malan (SA),177*,213,169,16,6,104.73,1,,v Ireland,Dublin (Malahide),16 Jul 2021,
MR Marsh (AUS),177*,177,132,17,9,134.09,2,,v Bangladesh,Pune,11 Nov 2023,
AB de Villiers (SA),176,121,104,15,7,169.23,1,,v Bangladesh,Paarl,18 Oct 2017,
Litton Das (BAN),176,-,143,16,8,123.07,1,,v Zimbabwe,Sylhet,6 Mar 2020,
AK Markram (SA),175,179,126,17,7,138.88,1,,v Netherlands,Johannesburg,2 Apr 2023,
H Klaasen (SA),174,114,83,13,13,209.63,1,,v Australia,Centurion,15 Sep 2023,
Q de Kock (SA),174,192,140,15,7,124.28,1,,v Bangladesh,Wankhede,24 Oct 2023,
DA Warner (AUS),173,218,136,24,0,127.20,2,,v South Africa,Cape Town,12 Oct 2016,
RG Sharma (IND),171*,205,163,13,7,104.90,1,,v Australia,W.A.C.A,12 Jan 2016,
AD Hales (ENG),171,166,122,22,4,140.16,1,,v Pakistan,Nottingham,30 Aug 2016,
Soumya Sarkar (BAN),169,218,151,22,2,111.92,1,,v New Zealand,Nelson,20 Dec 2023,
Q de Kock (SA),168*,188,145,21,2,115.86,2,,v Bangladesh,Kimberley,15 Oct 2017,
V Kohli (IND),166*,173,110,13,8,150.90,1,,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,
DA Warner (AUS),166,184,147,14,5,112.92,1,,v Bangladesh,Nottingham,20 Jun 2019,
BM Duckett (ENG),165,215,143,17,3,115.38,1,,v Australia,Lahore,22 Feb 2025,
SPD Smith (AUS),164,206,157,14,4,104.45,1,,v New Zealand,Sydney,4 Dec 2016,
DA Warner (AUS),163,180,124,14,9,131.45,1,,v Pakistan,Bengaluru,20 Oct 2023,
AB de Villiers (SA),162*,103,66,17,8,245.45,1,,v West Indies,Sydney,27 Feb 2015,
JC Buttler (ENG),162*,107,70,7,14,231.42,1,,v Netherlands,Amstelveen,17 Jun 2022,
JJ Roy (ENG),162,172,118,13,3,137.28,2,,v Sri Lanka,The Oval,29 Jun 2016,
RG Sharma (IND),162,-,137,20,4,118.24,1,,v West Indies,Brabourne,29 Oct 2018,
Ibrahim Zadran (AFG),162,226,138,15,4,117.39,1,,v Sri Lanka,Pallekele,30 Nov 2022,
V Kohli (IND),160*,220,159,12,2,100.62,1,,v South Africa,Cape Town,7 Feb 2018,
HM Amla (SA),159,168,128,16,4,124.21,1,,v Ireland,Canberra,3 Mar 2015,
RG Sharma (IND),159,-,138,17,5,115.21,1,,v West Indies,Visakhapatnam,18 Dec 2019,
Tamim Iqbal (BAN),158,-,136,20,3,116.17,1,,v Zimbabwe,Sylhet,3 Mar 2020,
Babar Azam (PAK),158,198,139,14,4,113.66,1,,v England,Birmingham,13 Jul 2021,
V Kohli (IND),157*,217,129,13,4,121.70,1,,v West Indies,Visakhapatnam,24 Oct 2018,
DA Warner (AUS),156,214,128,13,4,121.87,1,,v New Zealand,Melbourne,9 Dec 2016,
V Kohli (IND),154*,202,134,16,1,114.92,2,,v New Zealand,Mohali,23 Oct 2016,
TM Head (AUS),154*,172,129,20,5,119.37,2,,v England,Nottingham,19 Sep 2024,
HM Amla (SA),154,217,134,15,5,114.92,1,,v Sri Lanka,Centurion,10 Feb 2017,
AJ Finch (AUS),153*,-,143,11,6,106.99,2,,v Pakistan,Sharjah,24 Mar 2019,
JJ Roy (ENG),153,153,121,14,5,126.44,1,,v Bangladesh,Cardiff,8 Jun 2019,
AJ Finch (AUS),153,176,132,15,5,115.90,1,,v Sri Lanka,The Oval,15 Jun 2019,
RG Sharma (IND),152*,-,117,15,8,129.91,2,,v West Indies,Guwahati,21 Oct 2018,
DP Conway (NZ),152*,147,121,19,3,125.61,2,,v England,Ahmedabad,5 Oct 2023,
Sharjeel Khan (PAK),152,-,86,16,9,176.74,1,,v Ireland,Dublin (Malahide),18 Aug 2016,
TM Head (AUS),152,172,130,16,4,116.92,1,,v England,Melbourne,22 Nov 2022,
Imam-ul-Haq (PAK),151,211,131,16,1,115.26,1,,v England,Bristol,14 May 2019,
Rahmanullah Gurbaz (AFG),151,197,151,14,3,100.00,1,,v Pakistan,Hambantota,24 Aug 2023,
