Player,Overs,Mdns,Runs,Wkts,Econ,Inns,,Opposition,Ground,Start Date,
Rashid Khan (AFG),8.4,1,18,7,2.07,2,,v West Indies,Gros Islet,9 Jun 2017,
TG Southee (NZ),9.0,0,33,7,3.66,1,,v England,Wellington,20 Feb 2015,
TA Boult (NZ),10.0,3,34,7,3.40,2,,v West Indies,Christchurch,23 Dec 2017,
Imran Tahir (SA),9.0,0,45,7,5.00,2,,v West Indies,Basseterre,15 Jun 2016,
Mohammed Shami (IND),9.5,0,57,7,5.79,2,,v New Zealand,Wankhede,15 Nov 2023,
K Rabada (SA),8.0,3,16,6,2.00,1,,v Bangladesh,Mirpur,10 Jul 2015,
JJ Bumrah (IND),7.2,3,19,6,2.59,1,,v England,The Oval,12 Jul 2022,
Mohammed Siraj (IND),7.0,1,21,6,3.00,1,,v Sri Lanka,Colombo (RPS),17 Sep 2023,
Imran Tahir (SA),6.0,1,24,6,4.00,2,,v Zimbabwe,Bloemfontein,3 Oct 2018,
RJW Topley (ENG),9.5,2,24,6,2.44,2,,v India,Lord's,14 Jul 2022,
Kuldeep Yadav (IND),10.0,0,25,6,2.50,1,,v England,Nottingham,12 Jul 2018,
Yasir Shah (PAK),9.0,0,26,6,2.88,2,,v Zimbabwe,Harare,1 Oct 2015,
AM Ghazanfar (AFG),6.3,1,26,6,4.00,2,,v Bangladesh,Sharjah,6 Nov 2024,
MA Starc (AUS),9.0,0,28,6,3.11,2,,v New Zealand,Auckland,28 Feb 2015,
TA Boult (NZ),10.0,1,33,6,3.30,2,,v Australia,Hamilton,5 Feb 2017,
Shaheen Shah Afridi (PAK),9.1,0,35,6,3.81,2,,v Bangladesh,Lord's,5 Jul 2019,
IS Sodhi (NZ),10.0,1,39,6,3.90,2,,v Bangladesh,Mirpur,23 Sep 2023,
JC Archer (ENG),9.1,1,40,6,4.36,2,,v South Africa,Kimberley,1 Feb 2023,
YS Chahal (IND),10.0,0,42,6,4.20,1,,v Australia,Melbourne,18 Jan 2019,
Mustafizur Rahman (BAN),10.0,0,43,6,4.30,1,,v India,Mirpur,21 Jun 2015,
Rashid Khan (AFG),9.3,0,43,6,4.52,2,,v Ireland,Greater Noida,17 Mar 2017,
Gulbadin Naib (AFG),9.2,0,43,6,4.60,2,,v Ireland,Belfast,21 May 2019,
JW Hastings (AUS),10.0,0,45,6,4.50,1,,v Sri Lanka,Dambulla,31 Aug 2016,
JR Hazlewood (AUS),9.0,0,52,6,5.77,1,,v New Zealand,Birmingham,2 Jun 2017,
L Ngidi (SA),10.0,0,58,6,5.80,1,,v Australia,Bloemfontein,4 Mar 2020,
TG Southee (NZ),9.2,1,65,6,6.96,2,,v Bangladesh,Dunedin,20 Feb 2019,
Imad Wasim (PAK),5.4,0,14,5,2.47,2,,v Ireland,Dublin (Malahide),18 Aug 2016,
TA Boult (NZ),7.2,1,17,5,2.31,2,,v Pakistan,Dunedin,13 Jan 2018,
Mohammad Nabi (AFG),10.0,3,17,5,1.70,2,,v Ireland,Sharjah,12 Mar 2024,
A Mishra (IND),6.0,2,18,5,3.00,2,,v New Zealand,Visakhapatnam,29 Oct 2016,
Haris Rauf (PAK),6.2,2,18,5,2.84,2,,v Afghanistan,Hambantota,22 Aug 2023,
