,player,runs,mins,bf,4s,6s,sr,inns_batting,unnamed:,overs,mdns,runs,wkts,econ,inns_batting,dis,ct,st,ct_wk,ct_fi,opposition,ground,start_date,country
8257,Mahmudullah,4,11,14,0,0,28.57,1,,DNB,-,-,-,-,2,0,0,0,0,0,v New Zealand,Rawalpindi,2025-02-24,BAN
10326,R Ravindra,112,149,105,12,1,106.66,2,,DNB,-,-,-,-,1,1,1,0,0,1,v Bangladesh,Rawalpindi,2025-02-24,NZ
9516,Mustafizur Rahman,3*,8,5,0,0,60.00,1,,10.0,0,42,1,4.20,2,0,0,0,0,0,v New Zealand,Rawalpindi,2025-02-24,BAN
13727,WA Young,0,4,6,0,0,0.00,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Bangladesh,Rawalpindi,2025-02-24,NZ
7474,MJ Henry,DNB,-,-,-,-,-,2,,9.0,0,57,1,6.33,1,0,0,0,0,0,v Bangladesh,Rawalpindi,2025-02-24,NZ
13015,TWM Latham,55,108,76,3,0,72.36,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Bangladesh,Rawalpindi,2025-02-24,NZ
5788,Jaker Ali,45,94,55,3,1,81.81,1,,DNB,-,-,-,-,2,0,0,0,0,0,v New Zealand,Rawalpindi,2025-02-24,BAN
13318,Taskin Ahmed,10,31,20,1,0,50.00,1,,7.0,2,28,1,4.00,2,0,0,0,0,0,v New Zealand,Rawalpindi,2025-02-24,BAN
7310,MG Bracewell,11*,21,13,1,0,84.61,2,,10.0,0,26,4,2.60,1,1,1,0,0,1,v Bangladesh,Rawalpindi,2025-02-24,NZ
6278,KS Williamson,5,11,4,1,0,125.00,2,,DNB,-,-,-,-,1,2,2,0,0,2,v Bangladesh,Rawalpindi,2025-02-24,NZ
7587,MJ Santner,DNB,-,-,-,-,-,2,,10.0,1,44,0,4.40,1,2,2,0,0,2,v Bangladesh,Rawalpindi,2025-02-24,NZ
2674,DP Conway,30,69,45,6,0,66.66,2,,DNB,-,-,-,-,1,1,1,0,0,1,v Bangladesh,Rawalpindi,2025-02-24,NZ
8454,Mehidy Hasan Miraz,13,16,14,1,1,92.85,1,,10.0,0,53,0,5.30,2,0,0,0,0,0,v New Zealand,Rawalpindi,2025-02-24,BAN
9793,Najmul Hossain Shanto,77,153,110,9,0,70.00,1,,1.0,0,12,0,12.00,2,0,0,0,0,0,v New Zealand,Rawalpindi,2025-02-24,BAN
11024,Rishad Hossain,26,23,25,2,1,104.00,1,,9.1,0,58,1,6.32,2,0,0,0,0,0,v New Zealand,Rawalpindi,2025-02-24,BAN
13259,Tanzid Hasan,24,38,24,1,2,100.00,1,,DNB,-,-,-,-,2,0,0,0,0,0,v New Zealand,Rawalpindi,2025-02-24,BAN
9676,Nahid Rana,0*,2,4,0,0,0.00,1,,9.0,0,43,1,4.77,2,0,0,0,0,0,v New Zealand,Rawalpindi,2025-02-24,BAN
13388,Towhid Hridoy,7,33,24,0,0,29.16,1,,DNB,-,-,-,-,2,0,0,0,0,0,v New Zealand,Rawalpindi,2025-02-24,BAN
5983,KA Jamieson,DNB,-,-,-,-,-,2,,9.0,1,48,1,5.33,1,0,0,0,0,0,v Bangladesh,Rawalpindi,2025-02-24,NZ
3293,GD Phillips,21*,39,28,2,1,75.00,2,,2.0,0,10,0,5.00,1,0,0,0,0,0,v Bangladesh,Rawalpindi,2025-02-24,NZ
9395,Mushfiqur Rahim,2,8,5,0,0,40.00,1,,DNB,-,-,-,-,2,1,1,0,1,0,v New Zealand,Rawalpindi,2025-02-24,BAN
13705,W O'Rourke,DNB,-,-,-,-,-,2,,10.0,1,48,2,4.80,1,1,1,0,0,1,v Bangladesh,Rawalpindi,2025-02-24,NZ
4526,Imam-ul-Haq,10,48,26,0,0,38.46,1,,DNB,-,-,-,-,2,1,1,0,0,1,v India,Dubai (DICS),2025-02-23,PAK
11608,SS Iyer,56,80,67,5,1,83.58,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Pakistan,Dubai (DICS),2025-02-23,IND
11927,Saud Shakeel,62,123,76,5,0,81.57,1,,DNB,-,-,-,-,2,0,0,0,0,0,v India,Dubai (DICS),2025-02-23,PAK
6145,KL Rahul,DNB,-,-,-,-,-,2,,DNB,-,-,-,-,1,1,1,0,1,0,v Pakistan,Dubai (DICS),2025-02-23,IND
9825,Naseem Shah,14,16,16,1,0,87.50,1,,8.0,0,37,0,4.62,2,0,0,0,0,0,v India,Dubai (DICS),2025-02-23,PAK
13621,V Kohli,100*,151,111,7,0,90.09,2,,DNB,-,-,-,-,1,2,2,0,0,2,v Pakistan,Dubai (DICS),2025-02-23,IND
1104,Agha Salman,19,36,24,0,0,79.16,1,,2.0,0,10,0,5.00,2,0,0,0,0,0,v India,Dubai (DICS),2025-02-23,PAK
13354,Tayyab Tahir,4,5,6,0,0,66.66,1,,DNB,-,-,-,-,2,0,0,0,0,0,v India,Dubai (DICS),2025-02-23,PAK
1776,Babar Azam,23,42,26,5,0,88.46,1,,DNB,-,-,-,-,2,0,0,0,0,0,v India,Dubai (DICS),2025-02-23,PAK
8929,Mohammad Rizwan,46,108,77,3,0,59.74,1,,DNB,-,-,-,-,2,1,1,0,1,0,v India,Dubai (DICS),2025-02-23,PAK
695,AR Patel,3*,11,4,0,0,75.00,2,,10.0,0,49,1,4.90,1,1,1,0,0,1,v Pakistan,Dubai (DICS),2025-02-23,IND
