ground_name,preferred_style,Source
Karachi,BAL,"National Stadium Karachi, batting-friendly ([Source 3]5)"
Colombo (RPS),BAL,Balanced pitch with early swing for pacers ([Source 2]8)
Ahmedabad,BAT,"Narendra Modi Stadium, batting-friendly ([Source 10]10)"
Lahore,BAT,"Gaddafi Stadium, batting-friendly ([Source 3]5)"
Cuttack,BAT,"Moderate scoring, favors batting (Inferred from Indian pitch trends)"
Nagpur,SPIN,"Vidarbha Stadium, spin-friendly ([Source 10]10)"
Auckland,BAT,"Short boundaries, batting-friendly (General NZ pitch trends)"
Hamilton,PACE,Balanced but favors pacers (General NZ pitch trends)
Wellington,PACE,"Seam-friendly, bowler-friendly ([Source 2]8)"
Johannesburg,BAT,High-scoring batting paradise ([Source 1]1)
Harare,BAL,Balanced pitch (Inferred from Zimbabwean trends)
Cape Town,PACE,"Newlands, pace-friendly ([Source 2]8)"
Paarl,BAL,Moderate pace/spin balance ([Source 2]8)
Basseterre,PACE,No verified data
Bulawayo,BAL,Balanced (Inferred from Zimbabwean trends)
Pallekele,SPIN,Spin-friendly ([Source 8]8)
Dambulla,SPIN,"Dusty surface, spin-friendly ([Source 8]8)"
Sharjah,SPIN,"Slow, low bounce, spin-friendly ([Source 4]4)"
Perth,PACE,"Optus Stadium, pace-friendly ([Source 5]5)"
Adelaide,BAL,"Balanced pitch with early pace/swing, later spin assistance1"
Bridgetown,BAT,Batting-friendly pitch with good bounce and carry2
Melbourne,BAT,"Flat surface, batting-friendly in T20s with high scores3"
North Sound,BAT,Batting-friendly T20 pitch (avg 1st innings: 158)4
Abu Dhabi,BAT,"Batting paradise with spin assistance (grassless, flat surface)5"
Bristol,BAT,Batsman-friendly pitch with good speed/bounce6
Lord's,BAL,"Balanced: early bounce for pacers, later spin7"
Chester-le-Street,BAT,Batting-friendly (avg 1st innings: 139)8
Leeds,BAT,Batting-friendly (avg 1st innings: 164)9
Nottingham,BAT,Batting-friendly (avg 1st innings: 133)10
Chattogram,BAT,"T20-friendly venue, template suggests batting focus11"
Canberra,BAT,Template implies batting-friendly21
Sydney,BAT,"Officially labeled a ""Batting pitch"" with high scores13"
Napier,BAT,"Highest-scoring ground globally, batting paradise14"
Nelson,BAL,"Balanced contest between bat/ball, seam movement15"
Gqeberha,PACE,"Pace/bounce for fast bowlers, minimal spin impact16"
Dunedin,BAT,T20 template suggests batting-friendly22
Eden Gardens,BAT,Batting-friendly with high scores; dew aids chasers18
Wankhede,BAT,"Flat pitch, small boundaries, high-scoring games19"
Bengaluru,BAT,"Short boundaries, avg 1st innings >180 in T20s20"
Pune,BAT,"Flat pitch, small boundaries, high-scoring T20/ODI venue"
Delhi,SPIN,"Slow, low-bounce surface favoring spinners"
Lucknow,SPIN,"Dry, dusty pitch with sharp turn (IPL 2023 trends)"
Dharamsala,BAT,High-altitude venue with short boundaries and batting-friendly bounce
