,player,runs,mins,bf,4s,6s,sr,inns_batting,overs,mdns,runs_given,wkts,econ,inns_bowling,dis,ct,st,ct_wk,ct_fi,opposition,ground,start_date,country,runs_clean,Credits,Player Type,Player Name,Team,Bowling Style,fantasy_points,preferred_style,opponent_tier
0,Mahmudullah,4.0,11,14,0,0,28.57,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v New Zealand,Rawalpindi,2025-02-24,BAN,4.0,7.5,ALL,Mohammad Mahmudullah,BAN,Spin,8.0,PACE,2
1,R Ravindra,112.0,149,105,12,1,106.66,2,DNB,0,0,0,0.0,1,1.0,1,0,0,1,v Bangladesh,Rawalpindi,2025-02-24,NZ,112.0,8.0,BAT,Rachin Ravindra,NZ,,220.0,PACE,3
2,Mustafizur Rahman,,8,5,0,0,60.0,1,10.0,0,42,1,4.2,2,0.0,0,0,0,0,v New Zealand,Rawalpindi,2025-02-24,BAN,3.0,8.0,BOWL,Mustafizur Rahman,BAN,Pace,34.0,PACE,2
3,WA Young,0.0,4,6,0,0,0.0,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v Bangladesh,Rawalpindi,2025-02-24,NZ,0.0,7.0,BAT,Will Young,NZ,,1.0,PACE,3
4,MJ Henry,,0,0,0,0,0.0,2,9.0,0,57,1,6.33,1,0.0,0,0,0,0,v Bangladesh,Rawalpindi,2025-02-24,NZ,,8.5,BOWL,Matt Henry,NZ,Pace,29.0,PACE,3
5,TWM Latham,55.0,108,76,3,0,72.36,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v Bangladesh,Rawalpindi,2025-02-24,NZ,55.0,7.5,WK,Tom Latham,NZ,,83.0,PACE,3
6,Jaker Ali,45.0,94,55,3,1,81.81,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v New Zealand,Rawalpindi,2025-02-24,BAN,45.0,6.5,WK,Jaker Ali Anik,BAN,,71.0,PACE,2
7,Taskin Ahmed,10.0,31,20,1,0,50.0,1,7.0,2,28,1,4.0,2,0.0,0,0,0,0,v New Zealand,Rawalpindi,2025-02-24,BAN,10.0,8.5,BOWL,Taskin Ahmed,BAN,Pace,55.0,PACE,2
8,MG Bracewell,,21,13,1,0,84.61,2,10.0,0,26,4,2.6,1,1.0,1,0,0,1,v Bangladesh,Rawalpindi,2025-02-24,NZ,11.0,7.5,ALL,Michael Bracewell,NZ,Spin,135.0,PACE,3
9,KS Williamson,5.0,11,4,1,0,125.0,2,DNB,0,0,0,0.0,1,2.0,2,0,0,2,v Bangladesh,Rawalpindi,2025-02-24,NZ,5.0,9.0,BAT,Kane Williamson,NZ,,29.0,PACE,3
